"","x","y","Geothermal","Minerals","Chalcedony","Kaolinite","Gypsum","Temperature","Faults","Deformation"
"85",327764.6,4406428.5,1,0,0,0,0,NA,0.573296785354614,-21.9627342224121
"86",327767.6,4406428.5,1,0,0,0,0,NA,0.570166647434235,-22.3136768341064
"87",327770.6,4406428.5,1,0,0,0,0,NA,0.566633999347687,-22.269983291626
"88",327773.6,4406428.5,1,0,0,0,0,NA,0.562620937824249,-22.1294708251953
"89",327776.6,4406428.5,1,0,0,0,0,NA,0.558009803295135,-22.1829414367676
"90",327779.6,4406428.5,1,0,0,0,0,NA,0.552604794502258,-21.7683067321777
"91",327782.6,4406428.5,1,0,0,0,0,NA,0.546025514602661,-20.4924755096436
"92",327785.6,4406428.5,1,0,0,0,0,NA,0.537247598171234,-17.9815711975098
"93",327788.6,4406428.5,1,0,0,0,0,NA,0.519296944141388,-18.4726886749268
"94",327791.6,4406428.5,1,0,0,0,0,NA,0.505041897296906,-20.2164859771729
"95",327794.6,4406428.5,1,0,0,0,0,NA,0.505053281784058,-21.6471462249756
"96",327797.6,4406428.5,1,0,0,0,0,NA,0.505008518695831,-23.4664688110352
"97",327800.6,4406428.5,1,0,0,0,0,NA,0.504907608032227,-23.9304809570312
"98",327803.6,4406428.5,1,0,0,0,0,NA,0.504750311374664,-25.3274822235107
"99",327806.6,4406428.5,1,0,0,0,0,NA,0.504536509513855,-25.8288059234619
"100",327809.6,4406428.5,1,0,0,0,0,NA,0.504266023635864,-26.2543239593506
"101",327812.6,4406428.5,1,0,0,0,0,NA,0.503938674926758,-26.0077037811279
"102",327815.6,4406428.5,1,0,0,0,0,NA,0.503554224967957,-25.0123901367188
"103",327818.6,4406428.5,1,0,0,0,0,NA,0.503112375736237,-25.2921524047852
"104",327821.6,4406428.5,1,0,0,0,0,NA,0.511086702346802,-25.2575664520264
"105",327824.6,4406428.5,1,0.00155482045374811,0,0,0,NA,0.527458786964417,-25.7902488708496
"106",327827.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.551483511924744,-26.1461391448975
"107",327830.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.569510042667389,-27.1699371337891
"108",327833.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.57682853937149,-27.8968715667725
"109",327836.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.582452237606049,-27.9043960571289
"110",327839.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.587054550647736,-27.4972686767578
"111",327842.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.590939819812775,-26.3442478179932
"112",327845.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.594277143478394,-25.0110626220703
"113",327848.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.59717208147049,-23.778284072876
"114",327851.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.599695861339569,-22.157901763916
